epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,718.386,1.85679,4.27629,0.01039,0.34293,0.42456,0.32458,0.1273,1.82012,2.09625,0.00679,0.000555562,0.000555562,0.000555562
2,1397.21,1.94033,2.28276,0.01132,0.34345,0.41798,0.32161,0.13388,1.92331,1.71521,0.00708,0.00108923,0.00108923,0.00108923
3,2179.68,1.97354,2.12699,0.0118,0.47179,0.45992,0.42384,0.18001,1.89131,1.67946,0.00731,0.00160089,0.00160089,0.00160089
4,2891.98,1.99714,2.0341,0.01172,0.59405,0.51119,0.54723,0.2239,1.76936,1.41483,0.00696,0.00156798,0.00156798,0.00156798
5,3707.71,1.94701,1.91554,0.01133,0.56268,0.48136,0.48445,0.1966,1.81659,1.51667,0.00702,0.00153497,0.00153497,0.00153497
6,4479.41,1.93876,1.82789,0.01144,0.55834,0.49618,0.52003,0.2336,1.75029,1.30129,0.0067,0.00150197,0.00150197,0.00150197
7,5137.65,1.91595,1.76632,0.01129,0.64687,0.51092,0.55826,0.27193,1.73013,1.29672,0.00647,0.00146896,0.00146896,0.00146896
8,5793.09,1.90248,1.73437,0.01111,0.56303,0.57503,0.56066,0.25291,1.81196,1.23972,0.00676,0.00143595,0.00143595,0.00143595
9,6440.04,1.88572,1.67055,0.01075,0.65087,0.58294,0.61243,0.27006,1.73082,1.13865,0.0067,0.00140295,0.00140295,0.00140295
10,7097.76,1.87547,1.64209,0.01076,0.63044,0.63286,0.64303,0.30959,1.73914,1.09738,0.00668,0.00136994,0.00136994,0.00136994
11,7754.34,1.87144,1.60235,0.0108,0.65457,0.61946,0.62395,0.28999,1.71695,1.07159,0.00678,0.00133693,0.00133693,0.00133693
12,8402.44,1.84407,1.57788,0.01036,0.78398,0.58472,0.67977,0.33573,1.69312,1.04984,0.00638,0.00130393,0.00130393,0.00130393
13,9056.11,1.81784,1.52291,0.01059,0.75114,0.57596,0.66451,0.32656,1.68105,1.00277,0.00638,0.00127092,0.00127092,0.00127092
14,9708.13,1.8324,1.52301,0.01045,0.71168,0.66605,0.69354,0.33081,1.68832,0.95565,0.00658,0.00123791,0.00123791,0.00123791
15,10359.1,1.82598,1.49043,0.01043,0.707,0.65489,0.70305,0.3577,1.63728,0.96748,0.00621,0.00120491,0.00120491,0.00120491
16,11010.3,1.78957,1.44479,0.01042,0.65396,0.6612,0.69769,0.35127,1.62701,0.95551,0.00612,0.0011719,0.0011719,0.0011719
17,11659.1,1.78467,1.41922,0.01016,0.72365,0.67187,0.71255,0.3549,1.64891,0.94331,0.00619,0.00113889,0.00113889,0.00113889
18,12336.9,1.78408,1.41286,0.00994,0.66092,0.6593,0.66929,0.33968,1.58927,0.8982,0.00595,0.00110589,0.00110589,0.00110589
19,12987.1,1.76629,1.39245,0.01019,0.77322,0.66155,0.71781,0.36452,1.62267,0.94535,0.00608,0.00107288,0.00107288,0.00107288
20,13636.5,1.76934,1.37445,0.01013,0.74886,0.65947,0.73398,0.36992,1.62272,0.83357,0.00603,0.00103987,0.00103987,0.00103987
21,14290.3,1.76591,1.36127,0.00987,0.75886,0.68861,0.74211,0.39992,1.59546,0.83343,0.00592,0.00100687,0.00100687,0.00100687
22,14894.1,1.75636,1.33381,0.00986,0.74369,0.69893,0.73797,0.39378,1.59843,0.82471,0.00594,0.000973861,0.000973861,0.000973861
23,16229.1,1.74636,1.30979,0.00974,0.78327,0.67213,0.74718,0.39939,1.5914,0.82971,0.00589,0.000940855,0.000940855,0.000940855
24,16847.5,1.73151,1.31228,0.00972,0.81575,0.66932,0.77213,0.40913,1.58403,0.83534,0.00589,0.000907848,0.000907848,0.000907848
25,17440.1,1.71959,1.27877,0.00958,0.81441,0.74402,0.78121,0.40755,1.57726,0.78071,0.00588,0.000874842,0.000874842,0.000874842
26,18035.8,1.72721,1.27866,0.00946,0.71599,0.69207,0.73747,0.38118,1.55906,0.78638,0.00584,0.000841835,0.000841835,0.000841835
27,18647.5,1.71396,1.26254,0.00963,0.74196,0.71288,0.76105,0.38514,1.53174,0.78462,0.0058,0.000808828,0.000808828,0.000808828
28,19246,1.69718,1.22964,0.00911,0.72913,0.66632,0.7355,0.38011,1.54601,0.79449,0.00584,0.000775822,0.000775822,0.000775822
29,19846.7,1.69337,1.22831,0.00925,0.73959,0.74705,0.77316,0.40348,1.5358,0.76099,0.00577,0.000742815,0.000742815,0.000742815
30,20446.8,1.68322,1.20587,0.00926,0.81971,0.71449,0.777,0.42253,1.51221,0.75289,0.00561,0.000709809,0.000709809,0.000709809
31,21050.5,1.69765,1.21262,0.00898,0.74012,0.76049,0.78309,0.42846,1.52009,0.73233,0.00564,0.000676802,0.000676802,0.000676802
32,21655.8,1.68086,1.19323,0.00925,0.75252,0.74961,0.79709,0.43057,1.51592,0.7394,0.00557,0.000643795,0.000643795,0.000643795
33,22256.5,1.66296,1.16043,0.00902,0.80349,0.73829,0.77567,0.42247,1.51983,0.70965,0.00562,0.000610789,0.000610789,0.000610789
34,22854.8,1.65318,1.16065,0.0089,0.73965,0.7421,0.7624,0.40289,1.5211,0.72358,0.00559,0.000577782,0.000577782,0.000577782
35,23452.2,1.64085,1.14921,0.00886,0.75774,0.73091,0.77728,0.41241,1.51144,0.71754,0.00563,0.000544776,0.000544776,0.000544776
36,24049.3,1.63574,1.13292,0.00874,0.84099,0.67663,0.79498,0.43301,1.5017,0.71606,0.00552,0.000511769,0.000511769,0.000511769
37,24649,1.64366,1.13688,0.00878,0.79215,0.69198,0.77565,0.4135,1.50973,0.70722,0.00564,0.000478762,0.000478762,0.000478762
38,25251.5,1.61647,1.1208,0.00876,0.75049,0.75668,0.77899,0.4424,1.4891,0.68805,0.00543,0.000445756,0.000445756,0.000445756
39,25852.8,1.61181,1.09927,0.00852,0.76311,0.76375,0.7833,0.43493,1.48221,0.68824,0.00541,0.000412749,0.000412749,0.000412749
40,26451.9,1.609,1.09297,0.00873,0.7713,0.71962,0.7707,0.43478,1.48681,0.69427,0.00544,0.000379743,0.000379743,0.000379743
41,27042.7,1.53446,0.92554,0.00932,0.7724,0.75382,0.78763,0.42712,1.50739,0.69148,0.00559,0.000346736,0.000346736,0.000346736
42,27626.7,1.51715,0.89292,0.009,0.80313,0.69918,0.76513,0.4163,1.50216,0.69968,0.00556,0.000313729,0.000313729,0.000313729
